Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-13 23:55,178.64,,0,0,277.12,0,83.85,187.49,432.12,0,29.8,0.02,0,0,0,516.96,0,0,0
2018-05-14 00:00,127.32,7.7,0,0,279.44,0,83.64,188.34,388.01,0,29.7,0.02,0,0,0,510.41,0,0,0
2018-05-14 00:05,127.32,,0,0,284.99,0,83.74,187.89,402.35,0,29.7,0.02,0,0,0,511.49,0,0,0
2018-05-14 00:10,127.32,,0,0,280.51,0,84.11,186.44,402.49,0,29.8,0.02,0,0,0,490.15,0,0,0
2018-05-14 00:15,127.32,,0,0,292.97,0,83.84,187.03,359.25,0,15.8,0.02,0,0,0,483.56,0,0,0
2018-05-14 00:20,127.32,,0,0,293.54,0,84.11,186.64,378.81,0,28.5,0.02,0,0,0,481.33,0,0,0
2018-05-14 00:25,127.32,,0,0,308.35,0,84.39,187.57,331.6,0,30,0.02,0,0,0,481.36,0,0,0
2018-05-14 00:30,110.38,7.6,0,0,308.98,0,83.6,187.34,361.46,0,20.6,0.02,0,0,0,440.12,0,0,0
2018-05-14 00:35,110.38,,0,0,314.07,0,84.21,188.67,387.79,0,24.3,0.02,0,0,0,481.32,0,0,0
2018-05-14 00:40,110.38,,0,0,307.46,0,84.11,189.14,349.75,0,0.9,0.02,0,0,0,479.78,0,0,0
2018-05-14 00:45,110.38,,0,0,295.86,0,84.34,189.27,337.85,0,21.7,0.02,0,0,0,498.1,0,0,0
2018-05-14 00:50,110.38,,0,0,284.71,0,83.87,188.67,359.53,0,11.3,0.02,0,0,0,489.66,0,0,0
2018-05-14 00:55,110.38,,0,0,272.38,0,84.34,186.84,329.57,0,4.5,0.02,0,0,0,463.97,0,0,0
2018-05-14 01:00,90.07,7.8,0,0,252.73,0,83.99,188.19,338.26,0,12.6,0.02,0,0,0,493,0,0,0
2018-05-14 01:05,90.07,,0,0,242.92,0,84.08,188.12,343.82,0,21,0.02,0,0,0,504.94,0,0,0
