Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-07 10:30,46.43,17.2,141.76,0,1219.95,0,0,148.59,181.06,0,0,0.02,0,0,0,0,-24.52,0,0
2018-05-07 10:35,46.43,,141.76,0,1211.98,0,0,148.88,188.06,0,0,0.02,0,0,0,0,-36.46,0,0
2018-05-07 10:40,46.43,,141.76,0,1217.53,0,0,148.17,181.21,0,0,0.02,0,0,0,0,-47.85,0,0
2018-05-07 10:45,46.43,,141.76,0,1218.44,0,0,148.49,184.74,0,0,0.02,0,0,0,0,-48.25,0,0
2018-05-07 10:50,46.43,,141.76,0,1219.36,0,0,148.24,178.73,0,0,0.02,0,0,0,0,-49.14,0,0
2018-05-07 10:55,46.43,,141.76,0,1218.56,0,0,149.09,174.33,0,0,0.02,0,0,0,0,-65.83,0,0
2018-05-07 11:00,46.56,16.7,166.43,0,1223.41,0,0,149.02,194.15,0,0,0.02,0,0,0,0,-80.88,0,0
2018-05-07 11:05,46.56,,166.43,0,1217.47,0,0,155.18,181.89,0,0,0.02,0,0,0,0,-89.4,0,0
2018-05-07 11:10,46.56,,166.43,0,1215.64,0,0,155.5,176.54,0,0,0.02,0,0,0,0,-110.96,0,0
2018-05-07 11:15,46.56,,166.43,0,1231.59,0,0,154.91,190.54,0,0,0.02,0,0,0,0,-40.96,0,0
2018-05-07 11:20,46.56,,166.43,0,1218.62,0,0,156.36,180.51,0,0,0.02,0,0,0,0,-58.31,0,0
2018-05-07 11:25,46.56,,166.43,0,1225.61,0,0,156.3,184.42,0,0,0.02,0,0,0,0,-50.86,0,0
2018-05-07 11:30,33.93,17.4,165.12,0,1208.68,0,0,154.75,173.18,0,0,0.02,0,0,0,0,-119.04,0,0
2018-05-07 11:35,33.93,,165.12,0,1219.94,0,0,156.2,186.14,0,0,0.02,0,0,0,0,-54.37,0,0
2018-05-07 11:40,33.93,,165.12,0,1232.25,0,0,155.23,201.19,0,0,0.02,0,0,0,0,-36.93,0,0
2018-05-07 11:45,33.93,,165.12,0,1210.64,0,0,155.62,181.65,0,0,0.02,0,0,0,0,-65.07,0,0
2018-05-07 11:50,33.93,,165.12,0,1224.39,0,0,157.21,185.06,0,0,0.02,0,0,0,0,-42.71,0,0
2018-05-07 11:55,33.93,,165.12,0,1211.61,0,0,155.7,184.21,0,0,0.02,0,0,0,0,-44.57,0,0
2018-05-07 12:00,29.25,17.9,169.24,0,1215.48,0,0,155.44,182.16,0,0,0.02,0,0,0,0,-39.32,0,0
2018-05-07 12:05,29.25,,169.24,0,1222.71,0,0,155.66,188.21,0,0,0.02,0,0,0,0,-41.21,0,0
2018-05-07 12:10,29.25,,169.24,0,1215.65,0,0,154.98,175.71,0,0,0.02,0,0,0,0,-65.14,0,0
2018-05-07 12:15,29.25,,169.24,0,1225.61,0,0,155.76,166.81,0,0,0.02,0,0,0,0,-5.24,0,0
2018-05-07 12:20,29.25,,169.24,0,1216.63,0,0,155.89,162.48,0,0,0.02,0,0,0,0,-15.31,0,0
2018-05-07 12:25,29.25,,169.24,0,1222.64,0,0,156.44,162.88,0,0,0.02,0,0,0,0,-10.44,0,0
2018-05-07 12:30,42.7,19.3,175.91,0,1218.45,0,0,155.87,161.51,0,0,0.02,0,0,0,0,-65.5,0,0
2018-05-07 12:35,42.7,,175.91,0,1217.78,0,0,155.78,164.5,0,0,0.02,0,0,0,0,-30.53,0,0
2018-05-07 12:40,42.7,,175.91,0,1223.99,0,0,151.39,156.31,0,0,0.02,0,0,0,5.5,0,0,0
2018-05-07 12:45,42.7,,175.91,0,1219.15,0,0,153.13,168.18,0,0,0.02,0,0,0,0,-31.21,0,0
2018-05-07 12:50,42.7,,175.91,0,1222.2,0,0,151.87,180.23,0,0,0.02,0,0,0,0,-63.67,0,0
2018-05-07 12:55,42.7,,175.91,0,1207.22,0,0,152.48,171.94,0,0,0.02,0,0,0,0,-96.64,0,0
2018-05-07 13:00,36.36,20.1,242.06,0,1224.66,0,0,153.28,153.74,0,0,0.02,0,0,0,0,-121.81,0,0
2018-05-07 13:05,36.36,,242.06,0,1210.93,0,0,152.92,160.99,0,0,0.02,0,0,0,0,-69.96,0,0
2018-05-07 13:10,36.36,,242.06,0,1225.34,0,0,153.1,188.65,0,0,0.02,0,0,0,0,-127.19,0,0
2018-05-07 13:15,36.36,,242.06,0,1222.65,0,0,154.98,181.62,0,0,0.02,0,0,0,0,-110.89,0,0
2018-05-07 13:20,36.36,,242.06,0,1227.49,0,0,154.56,171.19,0,0,0.02,0,0,0,0,-130.34,0,0
2018-05-07 13:25,36.36,,242.06,0,1217.41,0,0,156.25,170.12,0,0,0.02,0,0,0,0,-113.54,0,0
2018-05-07 13:30,53.61,19.8,256.04,0,1220.3,0,0,155.18,178.72,0,0,0.02,0,0,0,0,-184.04,0,0
2018-05-07 13:35,53.61,,256.04,0,1227.85,0,0,155.48,171.89,0,0,0.02,0,0,0,0,-141.66,0,0
2018-05-07 13:40,53.61,,256.04,0,1206.38,0,0,155.03,171.53,0,0,0.02,0,0,0,0,-146.58,0,0
2018-05-07 13:45,53.61,,256.04,0,1223.36,0,0,156.15,172.43,0,0,0.02,0,0,0,0,-137.67,0,0
