Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-03 21:05,58.6,,0,0,1168.06,0,0,162.74,203.68,0,22.8,0.02,0,0,0,79.85,0,0,0
2018-05-03 21:10,58.6,,0,0,1154.75,0,0,180.65,188.14,0,12.5,0.02,0,0,0,28.01,0,0,0
2018-05-03 21:15,58.6,,0,0,1182.51,0,0,182.71,173.53,0,0,0.02,0,0,0,43.79,0,0,0
2018-05-03 21:20,58.6,,0,0,1175.04,0,0,165.12,180.19,0,19.3,0.02,0,0,0,70.28,0,0,0
2018-05-03 21:25,58.6,,0,0,1178.79,0,0,141.6,191.48,0,27.8,0.02,0,0,0,46.74,0,0,0
2018-05-03 21:30,52.14,12.7,0,0,1194.62,0,0,138.99,192.77,0,29.4,0.02,0,0,0,14.39,0,0,0
2018-05-03 21:35,52.14,,0,0,1186.37,0,0,137.38,180.04,0,22.9,0.02,0,0,0,64.43,0,0,0
2018-05-03 21:40,52.14,,0,0,1184.73,0,0,138.63,194.21,0,13.5,0.02,0,0,0,38.91,0,0,0
2018-05-03 21:45,52.14,,0,0,1170.01,0,0,137.98,183.21,0,0,0.02,0,0,0,52.04,0,0,0
2018-05-03 21:50,52.14,,0,0,1191.12,0,0,137.88,165.6,0,0,0.02,0,0,0,0,-27.82,0,0
2018-05-03 21:55,52.14,,0,0,1211.21,0,0,137.72,169.46,0,0,0.02,0,0,0,0,-29.83,0,0
2018-05-03 22:00,55.28,13,0,0,1167.78,0,0,138.33,176.29,0,14.8,0.02,0,0,0,0,-40.43,0,0
2018-05-03 22:05,55.28,,0,0,1145.93,0,0,138.43,213.84,0,29.1,0.02,0,0,0,0,-35.4,0,0
2018-05-03 22:10,55.28,,0,0,1135.58,0,0,137.65,189.09,0,29.6,0.02,0,0,0,0,-46.73,0,0
2018-05-03 22:15,55.28,,0,0,1137.45,0,0,138.25,202.95,0,21,0.02,0,0,0,0,-64.74,0,0
2018-05-03 22:20,55.28,,0,0,1146.1,0,0,139.08,193.16,0,5.7,0.02,0,0,0,0,-41.95,0,0
2018-05-03 22:25,55.28,,0,0,1185.64,0,0,156.58,178.92,0,0,0.02,0,0,0,0,-85.04,0,0
2018-05-03 22:30,55.41,12.5,0,0,1200.66,0,0,142.15,188.65,0,0,0.02,0,0,0,0,-88.16,0,0
2018-05-03 22:35,55.41,,0,0,1201.93,0,0,139.97,179.84,0,0,0.02,0,0,0,0,-49.95,0,0
2018-05-03 22:40,55.41,,0,0,1195.32,0,0,139.25,181.45,0,0,0.02,0,0,0,0,-89.72,0,0
2018-05-03 22:45,55.41,,0,0,1160.47,0,0,140.35,189.24,0,19.8,0.02,0,0,0,0,-61.77,0,0
2018-05-03 22:50,55.41,,0,0,1171.71,0,0,139.46,180.73,0,14.2,0.02,0,0,0,0,-84.32,0,0
2018-05-03 22:55,55.41,,0,0,1176.51,0,0,139.55,175.57,0,6.5,0.02,0,0,0,0,-45.32,0,0
2018-05-03 23:00,59.45,12.4,0,0,1196,0,0,138.95,192.08,0,0,0.02,0,0,0,0,-76.49,0,0
2018-05-03 23:05,59.45,,0,0,1197.16,0,0,139.35,198.37,0,0,0.02,0,0,0,0,-58.99,0,0
2018-05-03 23:10,59.45,,0,0,1195.56,0,0,139.29,196.58,0,0,0.02,0,0,0,0,-91.46,0,0
2018-05-03 23:15,59.45,,0,0,1187.36,0,0,139.18,176.7,0,0,0.02,0,0,0,0,-118.63,0,0
2018-05-03 23:20,59.45,,0,0,1208.44,0,0,139.78,171.56,0,0,0.02,0,0,0,0,-144.09,0,0
2018-05-03 23:25,59.45,,0,0,1188.81,0,0,139.68,181.67,0,0,0.02,0,0,0,0,-81.5,0,0
2018-05-03 23:30,63.97,13.3,0,0,1167.17,0,0,139.33,186.11,0,10.5,0.02,0,0,0,93.81,0,0,0
2018-05-03 23:35,63.97,,0,0,1139,0,0,156.24,183.05,0,0,0.02,0,0,0,49.07,0,0,0
2018-05-03 23:40,63.97,,0,0,1168.89,0,0,147.42,176.52,0,0,0.02,0,0,0,65.96,0,0,0
2018-05-03 23:45,63.97,,0,0,1178.98,0,0,141.07,200.25,0,28.9,0.02,0,0,0,100.16,0,0,0
2018-05-03 23:50,63.97,,0,0,1178.03,0,0,139.43,183.08,0,0,0.02,0,0,0,87.15,0,0,0
2018-05-03 23:55,63.97,,0,0,1175.83,0,0,137.8,192.34,0,24.4,0.02,0,0,0,87.16,0,0,0
2018-05-04 00:00,50.1,13.7,0,0,1179.78,0,0,138.23,180.07,0,0,0.02,0,0,0,72.95,0,0,0
2018-05-04 00:05,50.1,,0,0,1189.22,0,0,139.78,186.37,0,2,0.02,0,0,0,94.23,0,0,0
2018-05-04 00:10,50.1,,0,0,1177.36,0,0,138.35,177.06,0,0,0.02,0,0,0,8.46,0,0,0
2018-05-04 00:15,50.1,,0,0,1180.63,0,0,138.73,183.94,0,2.6,0.02,0,0,0,41.19,0,0,0
2018-05-04 00:20,50.1,,0,0,1189.84,0,0,139.5,186.41,0,3.9,0.02,0,0,0,33.37,0,0,0
2018-05-04 00:25,50.1,,0,0,1181.93,0,0,138.45,194.08,0,25.2,0.02,0,0,0,42.5,0,0,0
2018-05-04 00:30,44.12,11.3,0,0,1188.89,0,0,137.78,181.62,0,0,0.02,0,0,0,52.31,0,0,0
2018-05-04 00:35,44.12,,0,0,1202.97,0,0,138.68,211.4,0,0,0.02,0,0,0,38.8,0,0,0
2018-05-04 00:40,44.12,,0,0,1236.23,0,0,139.2,189.02,0,0,0.02,0,0,0,0,-46.44,0,0
2018-05-04 00:45,44.12,,0,0,1209.14,0,0,138.38,182.18,0,9.7,0.02,0,0,0,0,-27.44,0,0
2018-05-04 00:50,44.12,,0,0,1139.77,0,0,139.85,198.91,0,24.2,0.02,0,0,0,0,-55.25,0,0
2018-05-04 00:55,44.12,,0,0,1168.18,0,0,141.61,188.07,0,23.7,0.02,0,0,0,0,-50.64,0,0
2018-05-04 01:00,38.92,12,0,0,1182.35,0,0,140.65,180.29,0,1.6,0.02,0,0,0,0,-57.5,0,0
