Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-10 10:35,58.54,,211.7,0,1207.86,0,47.4,162.35,185.5,0,0,0.02,0,0,0,0,-162,-39.5,0
2018-05-10 10:40,58.54,,211.7,0,1195.8,0,47.5,147.66,182.44,0,0,0.02,0,0,0,0,-158.18,0,0
2018-05-10 10:45,58.54,,211.7,0,1230.23,0,47.6,141.01,195.17,0,0,0.02,0,0,0,0,-181.42,-19.4,0
2018-05-10 10:50,58.54,,211.7,0,1218.5,0,47.8,139.96,206.6,0,8.7,0.02,0,0,0,0,-161.39,0,0
2018-05-10 10:55,58.54,,211.7,0,1219.52,0,47.4,143.29,227.47,0,8,0.02,0,0,0,0,-152.04,0,0
2018-05-10 11:00,60.88,13.1,259.81,0,1218.04,0,47.4,139.86,216.93,0,2.9,0.02,0,0,0,0,-169.15,0,0
2018-05-10 11:05,60.88,,259.81,0,1215.97,0,47.2,140.84,214.36,0,3.3,0.02,0,0,0,0,-177.97,0,0
2018-05-10 11:10,60.88,,259.81,0,1209.4,0,47.3,140.59,207.33,0,1.7,0.02,0,0,0,0,-158.58,0,0
2018-05-10 11:15,60.88,,259.81,0,1203.47,0,47.3,141.54,208.31,0,0,0.02,0,0,0,0,-192.28,-19.8,0
2018-05-10 11:20,60.88,,259.81,0,1212.39,0,47.4,141.84,209.08,0,0,0.02,0,0,0,0,-211.99,-24.2,0
2018-05-10 11:25,60.88,,259.81,0,1219.49,0,47.4,139.96,219.86,0,9.1,0.02,0,0,0,0,-187.8,0,0
2018-05-10 11:30,59.79,13.4,288.96,0,1215.86,0,47.5,141.64,199.43,0,0,0.02,0,0,0,0,-150.2,-1.6,0
2018-05-10 11:35,59.79,,288.96,0,1221.34,0,47.3,139.76,198.6,0,0,0.02,0,0,0,0,-129.13,-2.7,0
2018-05-10 11:40,59.79,,288.96,0,1224.55,0,47,140.04,210.54,0,5.4,0.02,0,0,0,0,-157.37,0,0
2018-05-10 11:45,59.79,,288.96,0,1215.77,0,47,141.79,192.49,0,0,0.02,0,0,0,0,-187.78,0,0
2018-05-10 11:50,59.79,,288.96,0,1221.97,0,47.3,139.91,167.65,0,0,0.02,0,0,0,0,-166.98,0,0
2018-05-10 11:55,59.79,,288.96,0,1206.81,0,47.4,140.41,162.2,0,0,0.02,0,0,0,0,-184.63,-5.4,0
2018-05-10 12:00,59.2,14.1,311.87,0,1214.92,0,47.3,140.3,170.64,0,0,0.02,0,0,0,0,-173.08,0,0
2018-05-10 12:05,59.2,,311.87,0,1234.93,0,47,140.52,191.63,0,7,0.02,0,0,0,0,-157.12,0,0
2018-05-10 12:10,59.2,,311.87,0,1231.49,0,47,140.44,202.53,0,9.6,0.02,0,0,0,0,-172.76,0,0
2018-05-10 12:15,59.2,,311.87,0,1202.87,0,47.3,139.66,187.74,0,0,0.02,0,0,0,0,-168.19,-3.6,0
2018-05-10 12:20,59.2,,311.87,0,1214.82,0,47.3,140.56,181.59,0,0,0.02,0,0,0,0,-182.14,-1.4,0
2018-05-10 12:25,59.2,,311.87,0,1218.54,0,47.4,140.79,180.77,0,0,0.02,0,0,0,0,-203.48,-5,0
2018-05-10 12:30,53.59,14.9,363.15,0,1241.64,0,47.4,140.21,170.18,0,0,0.02,0,0,0,0,-247.48,-38.4,0
