Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-04-30 21:35,71.83,,0,0,360.03,0,387.08,182.62,350.44,0,0,0.02,0,0,0,260.99,0,0,0
2018-04-30 21:40,71.83,,0,0,361.57,0,385.11,182.87,335.3,0,0,0.02,0,0,0,206.01,0,0,0
2018-04-30 21:45,71.83,,0,0,364.32,0,383.57,182.52,309.97,0,0,0.02,0,0,0,206.75,0,0,0
2018-04-30 21:50,71.83,,0,0,366.92,0,384.75,182.72,286.55,0,0,0.02,0,0,0,213.61,0,0,0
2018-04-30 21:55,71.83,,0,0,366.15,0,385.32,182.1,322.7,0,0,0.02,0,0,0,236.32,0,0,0
2018-04-30 22:00,84.15,16,0,0,372.1,0,386.59,182.7,320.4,0,0,0.02,0,0,0,120.85,0,0,0
2018-04-30 22:05,84.15,,0,0,369.07,0,386.02,183.17,344.2,0,0,0.02,0,0,0,159.2,0,0,0
2018-04-30 22:10,84.15,,0,0,380.87,0,385.64,183.37,318.29,0,0,0.02,0,0,0,110.59,0,0,0
2018-04-30 22:15,84.15,,0,0,386.85,0,383.31,183.02,332.4,0,0,0.02,0,0,0,152.61,0,0,0
2018-04-30 22:20,84.15,,0,0,400.09,0,386.55,182.7,290.5,0,0,0.02,0,0,0,136.47,0,0,0
2018-04-30 22:25,84.15,,0,0,419.83,0,387.23,182.6,324.07,0,0,0.02,0,0,0,143.77,0,0,0
2018-04-30 22:30,70.82,17.1,0,0,430.63,0,384.72,182.42,278.3,0,0,0.02,0,0,0,89.54,0,0,0
2018-04-30 22:35,70.82,,0,0,439.1,0,388.02,182.45,283.5,0,0,0.02,0,0,0,123.44,0,0,0
2018-04-30 22:40,70.82,,0,0,457.55,0,383.47,182.32,280.68,0,0,0.02,0,0,0,108.13,0,0,0
2018-04-30 22:45,70.82,,0,0,478.59,0,382.88,182.47,279.04,0,0,0.02,0,0,0,78.93,0,0,0
2018-04-30 22:50,70.82,,0,0,480.82,0,387.06,182.07,274.27,0,0,0.02,0,0,0,23.13,0,0,0
2018-04-30 22:55,70.82,,0,0,503.47,0,387.07,182.1,279.73,0,0,0.02,0,0,0,50.93,0,0,0
